Question_Number,Question,Category,Priority,Target_Tab,Explanation,Formula,Definition,Book_Reference
18,How is C* calculated from national accounts?,Capital Composition,HIGH,exploitation,"C* = Y - S* - V*, where Y is productive output. This residual method derives constant capital as the portion of output that's neither surplus nor wages. Alternatively, C* = materials + depreciation adjusted for productive share. The Mohun conservation principle ensures consistency.","C* = Y - S* - V* or C* = materials + depreciation × productive_share","Constant capital derived from NIPA using residual method","Chapter 5, pp. 122-128"
19,What is the materialized composition and how does it differ from C*/V*?,Capital Composition,MEDIUM,exploitation,"Materialized composition uses physical capital stock K instead of flow C*: K/V*. It shows total accumulated capital per worker, while C*/V* shows capital consumed per period. Both rose dramatically (C*/V* +89%, K/V* similar trend), confirming increasing capital intensity across all measures.","C*/V* = flow ratio vs K/V* = stock ratio","Two measures of capital intensity: flow-based vs stock-based","Chapter 5, pp. 130-134"
20,Why does rising C*/V* cause the profit rate to fall?,Capital Composition,CRITICAL,exploitation,"From r* = e / (1 + q), if q = C*/V* rises, the denominator increases, lowering r* even if e rises. This is Marx's law: mechanization (rising q) reduces profitability per unit capital. Example: if e = 2 and q rises from 3 to 6, r* falls from 2/4 = 50% to 2/7 = 29% (-42%).","r* = e / (1 + q), so ∂r*/∂q < 0","Rising organic composition increases the denominator, reducing profit rate","Chapter 5, pp. 175-182"
21,Can the organic composition fall?,Capital Composition,LOW,exploitation,"Theoretically yes, through labor-intensive technical change or capital-saving innovations. However, historical data shows C*/V* rising in all advanced capitalist economies due to competitive pressure for labor-saving mechanization. Periods of flat or declining q are rare and temporary.","Historical trend: q monotonically increasing","Organic composition typically rises under capitalism due to mechanization","Chapter 5, pp. 135-140"
22,What is productive labor (Lp) in Marxian theory?,Employment,CRITICAL,employment,"Productive workers directly create surplus value through commodity production. Sectors: manufacturing, construction, agriculture, mining, transportation of goods. Lp fell from 53% to 49% of total employment (1948-1989), reflecting deindustrialization and shift to services.","Lp = workers in value-creating sectors","Labor directly engaged in surplus value production","Chapter 5, pp. 51-64"
23,What is unproductive labor (Lu) and why does it matter?,Employment,CRITICAL,employment,"Unproductive workers are paid from surplus, not from value they create. Includes: finance, insurance, real estate, retail, government, personal services. Lu rose from 47% to 51% of employment. Their wages are part of S*, so rising Lu reduces net surplus available for accumulation.","Lu = L_total - Lp, wages paid from S*","Labor paid from surplus rather than creating surplus","Chapter 5, pp. 65-77"
24,How do we classify workers as productive vs unproductive?,Employment,HIGH,employment,"Industry-based classification: productive = NAICS codes for manufacturing, construction, agriculture, mining, goods transportation. Unproductive = FIRE (finance, insurance, real estate), retail trade, government, personal services. Some sectors (e.g., transportation) are split based on whether they move commodities vs people.","Lp = manufacturing + construction + agriculture + mining + goods_transport","Classification based on whether labor creates or circulates value","Chapter 5, pp. 58-72, Appendix C"
25,What is Marxian productivity (Y/Lp) vs conventional (Y/L)?,Employment,HIGH,employment,"Marxian productivity Y/Lp measures output per productive worker only. Conventional Y/L includes all workers. Marxian productivity rose faster because Lp declined while output grew. This reveals that value creation is concentrated in shrinking productive sector, masked by rising unproductive employment.","Marxian: Y/Lp vs Conventional: Y/L","Two measures of productivity: productive workers only vs all workers","Chapter 5, pp. 145-152"
26,Why does the Lp/L ratio matter for crisis theory?,Employment,MEDIUM,employment,"Declining Lp/L (53% → 49%) means fewer workers create surplus while more are paid from it. This squeezes net surplus available for accumulation, contributing to falling profit rates and slower growth. It's a structural contradiction: capitalism generates unproductive employment that consumes its own surplus.","Lp/L declining implies rising unproductive share","Falling productive employment share constrains accumulation","Chapter 5, pp. 195-205"
27,How do productivity trends compare to BLS data?,Employment,MEDIUM,employment,"BLS productivity indices track similar trends to our conventional Y/L measure, validating our NIPA-based calculations. However, BLS uses different base years and aggregation methods. The key validation is that all three indices (Marxian Y/Lp, conventional Y/L, BLS) show strong upward trends from 1948-1989.","Compare Y/Lp, Y/L, and BLS productivity index trends","Cross-validation of productivity calculations against official statistics","Chapter 5, pp. 148-152"
28,What data sources were used for this analysis?,Data & Methodology,HIGH,literature,"Primary: BEA NIPA Tables (GDP, wages, profits, capital stock). BLS: employment by industry, productivity indices. FRED: capacity utilization, recession dates. All data are publicly available from federal statistical agencies. See Literature tab for full source documentation.","BEA NIPA + BLS + FRED","Publicly available national accounts and labor statistics","Chapter 5, pp. 221-225, Appendix A"
29,How was productive output (Y) derived from NIPA?,Data & Methodology,HIGH,literature,"Y = total output from productive sectors using industry-level GDP data. Method: (1) classify industries as productive/unproductive, (2) sum GDP from productive industries, (3) adjust for double-counting. The Mohun conservation principle ensures Y + unproductive output = total GDP.","Y = sum of GDP from productive industries","Productive output derived by aggregating value-creating sectors","Chapter 5, pp. 88-95"
30,What are the known limitations of this dataset?,Data & Methodology,MEDIUM,validation,"Limitations: (1) Industry classification ambiguity (some sectors mix productive/unproductive), (2) r* discrepancy with Table 5.8 (under investigation), (3) NIPA revisions over time may affect comparability, (4) capacity utilization proxy from FRB may not perfectly match capital-specific utilization. See Validation tab for detailed discrepancy analysis.","See validation tab for detailed discrepancy documentation","Known data issues and areas requiring further investigation","R_STAR_DISCREPANCY_RESOLUTION.md"
